2,169A,,no,67º42'25'',54º56'08'',,,Alta,Indet.,n.r.,n.r.
3,169B,,no,68º12'38'',54º55'09'',8,,Alta,Indet.,n.r.,n.r.
4,170C,,no,68º12'57'',54º55'06'',7,,Alta,Indet.,n.r.,n.r.
5,171 Bahía Honda,,no,68º13'01'',54º55'07'',10 a 15,,Alta,Indet.,n.r.,n.r.
6,172B,San Román y Morello 2000,no,68º13'01'',54º55'06'',,,Alta,Indet.,n.r.,n.r.
7,390,,no,68º13'09'',54º55'12'',,,Alta,Indet.,n.r.,n.r.
8,Canal Maule 1,,sí,68º09'19'',54º54'07'',12,,Media,Suave,3,7
9,296,,no,73°45'28'',53°29'57'',,,Alta,Indet.,n.r.,n.r.
10,52,Legoupil et al. 1991,no,67º46'30'',54º55'28'',20,,Alta,Indet.,n.r.,n.r.
11,138,Legoupil et al. 1991,no,67º21'41'',54º55'42'',,,Alta,Indet.,n.r.,n.r.
12, Bayly 1,Legoupil et al. 1991,si,67º50'00'',54º54'35'',n.r.,,Bosque,Indet.,Campamento,100
13, Bayly 2,Legoupil et al. 1991,no,,,2 a 4,,Indet.,Mediana,10,15
14, Bertrand 1A y B,Legoupil et al. 1991,si,67°35'52'',55°36'14'',67°58'22'',,Pradera Baja,Indet.,Campamento,80
15, Grévy 1,Legoupil et al. 1991,no,,,2 a 7,,Indet.,Marcada,25,35
16, Grévy 2,Legoupil et al. 1991,no,67°38'02'',55°30'37'',2 a 5,,Indet.,Mediana,10,10
17, Grévy 3,Legoupil et al. 1991,no,67°36'44'',55°31'51'',1 a 4,,Indet.,Suave,8,18
18, Grévy 4,Legoupil et al. 1991,no,67°38'21'',55°35'27'',3 a 5,,Indet.,Suave,8,5
19, Grévy 5,Legoupil et al. 1991,no,67°37'44'',55°35'19'',3 a 4,,Indet.,Plano,3,3
20, Herschel 1,Legoupil et al. 1991,no,67°36'41'',55°35'03'',1 a 3,,Indet.,Mediana,15,10
21, Herschel 2,Legoupil et al. 1991,no,67°15'31'',55°50'27'',2 a 3,,Indet.,Suave,5,10
22, Herschel 3,,no,67°15'34'',55°50'34'',1 a 3,,Indet.,Mediana,10,6
23, Herschel 4,Legoupil et al. 1991,no,67°18'02'',55°49'14'',1 a 4,,Indet.,Suave,6,5
24,Caleta Martial 1,,no,67°17'11'',55°49'35'',n.r.,,Indet.,Indet.,n.r.,n.r.
25, Horn 1,Legoupil et al. 1991,no,67°17'00'',55°50'00'',6 a 7,,Indet.,Suave,3,3
26,198,Legoupil et al. 1991,no,67°16'14'',55°55'55'',,,Alta,Indet.,n.r.,n.r.
27, Navarino 1,Legoupil et al. 1991,no,6816'26'',54º54'52'',2 a 10,,Indet.,Mediana,60,50
28, Wollaston 1,Legoupil et al. 1991,no,67°59'26'',55°15'13'',1 a 4,,Indet.,Marcada,6,10
29, Wollaston 10,Legoupil et al. 1991,no,67°15'32'',55°45'28'',1 a 4,,Indet.,Mediana,5,8
30, Wollaston 11,Legoupil et al. 1991,no,67°25'47'',55°42'37'',1 a 2,,Indet.,Mediana,7,10
31, Wollaston 12,Legoupil et al. 1991,no,67°36'44'',55°31'51'',1 a 3,,Indet.,Suave,5,10
32, Wollaston 13,Legoupil et al. 1991,no,67°31'25'',55°38'50'',2 a 5,,Indet.,Suave,3,10
33, Wollaston 14,Legoupil et al. 1991,no,67°32'05'',55°38'50',1 a 6,,Indet.,Mediana,8,8
34, Wollaston 15,Legoupil et al. 1991,no,67°32'50'',55°38'54'',6 a 10,,Indet.,Plano,6,10
35, Wollaston 2,Legoupil et al. 1991,no,67°32'50'',55°38'55'',1,,Indet.,Plano,25,5
36, Wollaston 3,Legoupil et al. 1991,no,67°15'52'',55°46'02'',1 a 4,,Indet.,Marcada,10,6
37, Wollaston 4 ,Legoupil et al. 1991,no,67°22'32'',55°41'59'',1 a 4,,Indet.,Mediana,6,5
38, Wollaston 5,Legoupil et al. 1991,no,67°22'32'',55°41'59'',2 a 4,,Indet.,Mediana,5,4
